,years,air_av
0,1990,
1,1991,
2,1992,
3,1993,
4,1994,
5,1995,
6,1996,
7,1997,
8,1998,
9,1999,
10,2000,15.538182
11,2001,14.943697
12,2002,14.230508
13,2003,13.513559
14,2004,12.596522
15,2005,16.210606
16,2006,11.403509
17,2007,13.655769
18,2008,10.829825
19,2009,10.14322
20,2010,10.984821
21,2011,10.01453
22,2012,9.352137
23,2013,9.504464
24,2014,9.614286
25,2015,9.168067
26,2016,7.750833
27,2017,7.738333
28,2018,7.842017
29,2019,7.15124
30,2020,6.808257
31,2021,7.504167
32,2022,6.668644
33,2023,7.443594529411765
34,2024,6.637573764705883
