,year,temp_dif,temp
0,1980,0.03984848484847703,48.494393939393944
1,1981,0.6981818181818085,49.152727272727276
2,1982,2.2565151515151385,50.711060606060606
3,1983,2.7148484848484813,51.16939393939395
4,1984,0.973181818181807,49.427727272727275
5,1985,0.7981818181818028,49.25272727272727
6,1986,2.5371212121211997,50.99166666666667
7,1987,3.0287878787878597,51.48333333333333
8,1988,1.9954545454545283,50.449999999999996
9,1989,0.878787878787854,49.33333333333332
10,1990,4.062121212121205,52.51666666666667
11,1991,4.887121212121208,53.341666666666676
12,1992,2.1037878787878697,50.55833333333334
13,1993,2.1121212121212025,50.56666666666667
14,1994,1.9954545454545425,50.45000000000001
15,1995,3.1537878787878597,51.60833333333333
16,1996,0.7954545454545325,49.25
17,1997,1.0954545454545368,49.550000000000004
18,1998,5.203787878787871,53.65833333333334
19,1999,3.4371212121212054,51.89166666666667
20,2000,1.6037878787878626,50.05833333333333
21,2001,3.3704545454545283,51.824999999999996
22,2002,3.7954545454545325,52.25
23,2003,1.7787878787878597,50.23333333333333
24,2004,2.145454545454527,50.599999999999994
25,2005,2.6704545454545325,51.125
26,2006,3.7454545454545283,52.199999999999996
27,2007,2.587121212121197,51.041666666666664
28,2008,1.7287878787878697,50.18333333333334
29,2009,2.2371212121211954,50.69166666666666
30,2010,4.30378787878788,52.75833333333335
31,2011,3.712121212121197,52.166666666666664
32,2012,5.770454545454527,54.224999999999994
33,2013,2.4287878787878654,50.88333333333333
34,2014,0.5454545454545325,49.0
35,2015,2.712121212121211,51.16666666666668
36,2016,5.895454545454534,54.35
37,2017,6.020454545454527,54.474999999999994
38,2018,4.087121212121197,52.541666666666664
39,2019,4.553787878787858,53.008333333333326
40,2020,4.6621212121212,53.11666666666667
41,2021,4.845454545454523,53.29999999999999
42,2022,3.903787878787874,52.35833333333334
43,2023,5.35378787878787,53.80833333333334
